width,height,l_size,total_exec,kernel_exec,bandwidth,throughput,memory_footprint
720,1280,2,147.75,0.113535,3.24693e+10,8.11732e+09,7.3728
720,1280,2,72.315,0.11356,3.24621e+10,8.11553e+09,7.3728
720,1280,2,71.394,0.118178,3.11936e+10,7.79841e+09,7.3728
720,1280,2,68.5831,0.114255,3.22647e+10,8.06617e+09,7.3728
720,1280,2,71.0648,0.113865,3.23752e+10,8.0938e+09,7.3728
720,1280,4,69.0565,0.028643,1.28702e+11,3.21754e+10,7.3728
720,1280,4,85.0035,0.028899,1.27562e+11,3.18904e+10,7.3728
720,1280,4,69.7635,0.0291,1.2668e+11,3.16701e+10,7.3728
720,1280,4,68.2963,0.028894,1.27584e+11,3.18959e+10,7.3728
720,1280,4,69.9275,0.028627,1.28774e+11,3.21934e+10,7.3728
720,1280,8,69.8156,0.015003,2.45711e+11,6.14277e+10,7.3728
720,1280,8,70.9832,0.015044,2.45041e+11,6.12603e+10,7.3728
720,1280,8,71.6179,0.015008,2.45629e+11,6.14072e+10,7.3728
720,1280,8,67.0747,0.01507,2.44618e+11,6.11546e+10,7.3728
720,1280,8,68.4419,0.015038,2.45139e+11,6.12847e+10,7.3728
720,1280,16,68.8522,0.016043,2.29782e+11,5.74456e+10,7.3728
720,1280,16,68.795,0.014946,2.46648e+11,6.1662e+10,7.3728
720,1280,16,66.6309,0.015105,2.44052e+11,6.10129e+10,7.3728
720,1280,16,66.4018,0.01503,2.45269e+11,6.13174e+10,7.3728
720,1280,16,69.2187,0.014954,2.46516e+11,6.1629e+10,7.3728
